Key,"Where it appears",English,Language,"Current translation",Status,"Correction (fill in if wrong)"
home.capability.1,"Home page","Large stock with a wide range of polymers covering the entire spectrum of charge density and molecular weights.",Gujarati,"વિશાળ સ્ટોક જેમાં ચાર્જ ઘનતા અને મોલેક્યુલર વજનના સમગ્ર સ્પેક્ટ્રમને આવરી લેતા પોલિમરની વિશાળ શ્રેણી છે.","machine translated - please check",
home.capability.2,"Home page","Consistent quality with no batch to batch variation.",Hindi,"एक ही बैच में एक समान गुणवत्ता और बैच में कोई भिन्नता नहीं।","machine translated - please check",
home.capability.2,"Home page","Consistent quality with no batch to batch variation.",Gujarati,"સુસંગત ગુણવત્તા, કોઈ બેચથી બેચ તફાવત નહીં.","machine translated - please check",
home.capability.3,"Home page","Supply of equipment along with products as a part of customer service.",Hindi,"ग्राहक सेवा के एक भाग के रूप में उपकरण की आपूर्ति के साथ-साथ पी.एक्स.क्यू.0क्यू.एक्स.डक्ट्स।","machine translated - please check",
home.capability.3,"Home page","Supply of equipment along with products as a part of customer service.",Gujarati,"ગ્રાહક સેવાના ભાગરૂપે પીએક્સક્યુ0ક્યુએક્સડક્ટ્સ સાથે સાધનોની પુરવઠો.","machine translated - please check",
home.capability.4,"Home page","Offsite and onsite support.",Hindi,"ऑफसाइट और ऑनसाइट सहायता।","machine translated - please check",
home.capability.4,"Home page","Offsite and onsite support.",Gujarati,"ઓફસાઇટ અને ઓનસાઇટ સહાય.","machine translated - please check",
home.capability.5,"Home page","Experienced field and laboratory staff.",Hindi,"अनुभवी क्षेत्र और प्रयोगशाला कर्मचारी।","machine translated - please check",
home.capability.5,"Home page","Experienced field and laboratory staff.",Gujarati,"અનુભવી ક્ષેત્ર અને પ્રયોગશાળાના કર્મચારીઓ.","machine translated - please check",
home.why.p1,"Home page","With over 25 years of on field experience in tackling and solving problems related to water and wastewater treatment, we have extended our scope of services to, not just supply of chemicals but also, to allied services to help our customers identify the right chemicals at the optimum dosages.",Hindi,"जल और अपशिष्ट जल उपचार से संबंधित समस्याओं को हल करने और उनका सामना करने में 25 से अधिक वर्षों के क्षेत्र अनुभव के साथ, हमने अपनी सेवाओं का दायरा बढ़ा दिया है, जिसमें न केवल रसायन आपूर्ति, अपितु, सहयोगी सेवाओं को भी शामिल किया गया है, ताकि हमारे ग्राहकों को इष्टतम खुराक पर सही रसायन खोजने में सहायता मिल सके।","machine translated - please check",
home.why.p1,"Home page","With over 25 years of on field experience in tackling and solving problems related to water and wastewater treatment, we have extended our scope of services to, not just supply of chemicals but also, to allied services to help our customers identify the right chemicals at the optimum dosages.",Gujarati,"પાણી અને ગંદા પાણીના ઉપચાર સંબંધિત સમસ્યાઓનું નિરાકરણ અને ઉકેલ લાવવા માટે 25 વર્ષથી વધુ ક્ષેત્ર અનુભવ સાથે, અમે અમારી સેવાઓની શ્રેણીને વિસ્તૃત કરી છે, જેમાં માત્ર રસાયણોનો પુરવઠો જ નહીં, પરંતુ ગ્રાહકોને યોગ્ય માત્રામાં યોગ્ય રસાયણો ઓળખવા માટે મદદ કરવા માટે સહયોગી સેવાઓ પણ સામેલ છે.","machine translated - please check",
home.why.p2,"Home page","Raybon Chemicals has created a niche for itself in the field of water and effluent treatment, by offering customised products to our clients , as per the requirements of their water, utility and effluent management systems.",Hindi,"एक्स.क्यू.0क्यू.एक्स. ने अपने ग्राहकों को उनके जल, उपयोगिता और अपशिष्ट प्रबंधन प्रणालियों की आवश्यकताओं के अनुसार अनुकूलित pROडक्ट की पेशकश करके जल और अपशिष्ट उपचार के क्षेत्र में अपना एक अलग स्थान बनाया है।","machine translated - please check",
home.why.p2,"Home page","Raybon Chemicals has created a niche for itself in the field of water and effluent treatment, by offering customised products to our clients , as per the requirements of their water, utility and effluent management systems.",Gujarati,"Raybon Chemicals એ અમારા ગ્રાહકોને તેમની પાણીની, ઉપયોગિતા અને ગંદા પાણીના વ્યવસ્થાપન પ્રણાલીઓની જરૂરિયાત મુજબ કસ્ટમાઇઝ્ડ pROducts પ્રદાન કરીને પાણી અને ગંદા પાણીના સારવારના ક્ષેત્રમાં પોતાનું સ્થાન બનાવ્યું છે.","machine translated - please check",
home.why.p3,"Home page","From sludge dewatering to colour removal from effluent we have given our clients not just products like coagulants, activated carbon and flocculants, but also the knowhow of testing, piloting and then implementing at plant scale the chemical program needed to achieve the desired objective at the lowest possible cost.",Hindi,"एफ.एक्स.क्यू.1क्यू.एक्स.एम. कीचड़ को रंग हटाने के लिए अपशिष्ट जल को डीवाटरिंग किया जाता है, हमने अपने ग्राहकों को केवल कोएगुलेंट्स, एक्स.क्यू.0.क्यू.एक्स. और फ्लोक्युलेंट्स, जैसे पी.एच.क्यू.1.क्यू.एक्स.ग्राम, बल्कि परीक्षण, पायलटिंग और फिर संयंत्र के पैमाने पर आवश्यक रासायनिक पी.एच.क्यू.1.क्यू.ग्राम के बारे में भी जानकारी दी है ताकि कम से कम संभव लागत पर वांछित उद्देश्य को प्राप्त किया जा सके।","machine translated - please check",
home.why.p3,"Home page","From sludge dewatering to colour removal from effluent we have given our clients not just products like coagulants, activated carbon and flocculants, but also the knowhow of testing, piloting and then implementing at plant scale the chemical program needed to achieve the desired objective at the lowest possible cost.",Gujarati,"એફ.એક્સ.ક્યુ.1ક્યુ.એક્સ.એમ. ગંદા પાણીનું ડિવેટરિંગ કરીને રંગ દૂર કરવા માટે, અમે અમારા ગ્રાહકોને માત્ર કોગ્યુલેન્ટ્સ, એક્સ.ક્યુ.0.ક્યુ.એક્સ. અને ફ્લોક્ક્યુલેન્ટ્સ, જેવા પી.એક્સ.ક્યુ.1.ક્યુ.એક્સ.ગ્રામ જેવા જ નહીં, પરંતુ પરીક્ષણ, પાયલોટિંગ અને પછી પ્લાન્ટ સ્કેલ પર જરૂરી રાસાયણિક પી.એક્સ.ક્યુ.1.ક્યુ.ગ્રામની જાણકારી પણ આપી છે, જેથી ઓછામાં ઓછી શક્ય કિંમત પર ઇચ્છિત ઉદ્દેશ્ય હાંસલ કરી શકાય.","machine translated - please check",
home.why.p4,"Home page","We collaborate with our customers in understanding their problems and then offering our solutions, along with our products we offer knowledge sharing for identifying the right chemical program at the optimised dosages.",Hindi,"हम अपने ग्राहकों के साथ उनकी समस्याओं को समझने के लिए सहयोग करते हैं और फिर अपने समाधान प्रदान करते हैं, साथ ही अपने रसायनों के साथ-साथ ज्ञान साझा करते हैं ताकि अनुकूलित खुराक पर सही रसायन pROgram की पहचान की जा सके।","machine translated - please check",
home.why.p4,"Home page","We collaborate with our customers in understanding their problems and then offering our solutions, along with our products we offer knowledge sharing for identifying the right chemical program at the optimised dosages.",Gujarati,"અમે અમારા ગ્રાહકોને તેમની સમસ્યાઓને સમજવામાં અને અમારા ઉકેલો પ્રદાન કરવામાં સહયોગ કરીએ છીએ, અને અમારા ઉકેલો સાથે અમારા ઉકેલો પ્રદાન કરીએ છીએ, જેથી શ્રેષ્ઠ માત્રામાં યોગ્ય રાસાયણિક સંયોજન ઓળખવા માટે જ્ઞાન વહેંચણી કરી શકાય.","machine translated - please check",
home.why.p5,"Home page","Our chemical programs are continuously directed towards reducing down time, and optimising chemical usage, we have consistently focused on reducing water treatment and disposal costs of our clients.",Hindi,"हमारे रासायनिक पी.एक्स.क्यू.0क्यू.एक्स.ग्राम को समय कम करने और रासायनिक उपयोग को अनुकूलित करने के लिए लगातार निर्देशित किया जाता है, हमने लगातार अपने ग्राहकों के जल उपचार और निपटान लागत को कम करने पर ध्यान केंद्रित किया है।","machine translated - please check",
home.why.p5,"Home page","Our chemical programs are continuously directed towards reducing down time, and optimising chemical usage, we have consistently focused on reducing water treatment and disposal costs of our clients.",Gujarati,"અમારા કેમિકલ પીએક્સક્યુ0ક્યુએક્સગ્રામ સમય ઘટાડવા અને રાસાયણિક વપરાશને શ્રેષ્ઠ બનાવવા તરફ સતત નિર્દેશિત કરવામાં આવે છે, અમે અમારા ગ્રાહકોના પાણીના સારવાર અને નિકાલ ખર્ચમાં સતત ઘટાડો કરવા પર ધ્યાન કેન્દ્રિત કર્યું છે.","machine translated - please check",
home.why.badge1,"Home page","Superior Products",Hindi,"उत्कृष्ट उत्पाद","HAND-CORRECTED - please confirm",
home.why.badge1,"Home page","Superior Products",Gujarati,"ઉત્તમ ઉત્પાદનો","HAND-CORRECTED - please confirm",
home.why.badge2,"Home page","In-depth Industrial Understanding ",Hindi,"गहन औद्योगिक समझ","machine translated - please check",
home.why.badge2,"Home page","In-depth Industrial Understanding ",Gujarati,"ઊંડાણપૂર્વકના ઔદ્યોગિક સમજ","machine translated - please check",
home.why.badge3,"Home page","Skilled Workforce ",Hindi,"कुशल कार्यबल","machine translated - please check",
home.why.badge3,"Home page","Skilled Workforce ",Gujarati,"કુશળ કાર્યબળ","machine translated - please check",
home.why.badge4,"Home page","Chemicals As A Service - CAAS ",Hindi,"रासायनिक सेवा","machine translated - please check",
home.why.badge4,"Home page","Chemicals As A Service - CAAS ",Gujarati,"રાસાયણિક સેવા તરીકે","machine translated - please check",
home.partners.eyebrow,"Home page","Working With The Best",Hindi,"सर्वश्रेष्ठ के साथ कार्य करना","machine translated - please check",
home.partners.eyebrow,"Home page","Working With The Best",Gujarati,"શ્રેષ્ઠ લોકો સાથે કાર્ય કરવું","machine translated - please check",
home.partners.title,"Home page","Our Technology Partners",Hindi,"हमारे प्रौद्योगिकी भागीदार","machine translated - please check",
home.partners.title,"Home page","Our Technology Partners",Gujarati,"અમારા ટેકનોલોજી ભાગીદારો","machine translated - please check",
home.partners.rochem.desc,"Home page","Membrane based technology for treating the most difficult effluents &mdash; Disc Tube&trade; systems for high TDS, high fouling streams, ZLD and landfill leachate.",Hindi,"सबसे कठिन अपशिष्टों के लिए झिल्ली आधारित तकनीक - उच्च एक्स.क्यू.0.क्यू.एक्स., उच्च गंदगी वाले धाराओं, ज़ेड.एल.डी. और लैंडफिल लीचेट के लिए डिस्क ट्यूब सिस्टम।","machine translated - please check",
home.partners.rochem.desc,"Home page","Membrane based technology for treating the most difficult effluents &mdash; Disc Tube&trade; systems for high TDS, high fouling streams, ZLD and landfill leachate.",Gujarati,"સૌથી મુશ્કેલ પ્રવાહ માટે પટલની આધારિત ટેકનોલોજી — ઉચ્ચ TDS, ઉચ્ચ ફૌલિંગ પ્રવાહો, ઝેડએલડી અને લેન્ડફિલ લીચેટ માટે ડિસ્ક ટ્યુબ™ પ્રણાલી.","machine translated - please check",
home.partners.solenis.desc,"Home page","Global speciality chemicals for water intensive industries &mdash; process, water treatment and functional chemistries backed by deep application expertise.",Hindi,"जल गहन उद्योगों के लिए वैश्विक विशेष रसायन - pROcess, जल उपचार और कार्यात्मक रसायन विज्ञान गहरी अनुप्रयोग विशेषज्ञता द्वारा समर्थित हैं।","machine translated - please check",
home.partners.solenis.desc,"Home page","Global speciality chemicals for water intensive industries &mdash; process, water treatment and functional chemistries backed by deep application expertise.",Gujarati,"પાણીના વપરાશમાં વધુ પડતા ઉદ્યોગો માટે વૈશ્વિક વિશિષ્ટ રસાયણો - pROcess, જળ શુદ્ધિકરણ અને કાર્યાત્મક રસાયણશાસ્ત્રને ઊંડાણપૂર્વકના ઉપયોગની કુશળતા દ્વારા ટેકો આપવામાં આવે છે.","machine translated - please check",
home.cta.title,"Home page","Send us your effluent parameters.",Hindi,"हमें अपने अपशिष्ट जल मापदंडों की जानकारी भेजें।","machine translated - please check",
home.cta.title,"Home page","Send us your effluent parameters.",Gujarati,"અમને તમારા ગંદા પાણીના પરિમાણો મોકલો.","machine translated - please check",
home.cta.body,"Home page","We will jar-test them in our laboratory and come back with a chemical program and a dosage &mdash; before you commit to anything.",Hindi,"हम उन्हें अपनी प्रयोगशाला में जार-परीक्षण करेंगे और कुछ भी करने से पहले एक रासायनिक पी.एक्स.क्यू.0क्यू.एक्स.ग्राम और एक खुराक के साथ वापस आएंगे।","machine translated - please check",
home.cta.body,"Home page","We will jar-test them in our laboratory and come back with a chemical program and a dosage &mdash; before you commit to anything.",Gujarati,"અમે અમારા પ્રયોગશાળામાં તેમનું જાર-પરીક્ષણ કરીશું અને તમે કંઈપણ કરવા માટે પ્રતિબદ્ધ થાઓ તે પહેલાં રાસાયણિક પીએક્સક્યુ0ક્યુએક્સગ્રામ અને ડોઝ સાથે પાછા આવીશું.","machine translated - please check",
home.cta.primary,"Home page","Request a Jar Test",Hindi,"जार परीक्षण के लिए अनुरोध करें।","machine translated - please check",
home.cta.primary,"Home page","Request a Jar Test",Gujarati,"વિનંતી કરીને જાર પરીક્ષણ કરાવો.","machine translated - please check",
home.hero.knowmore,"Home page","Know More",Hindi,"अधिक जानकारी","machine translated - please check",
home.hero.knowmore,"Home page","Know More",Gujarati,"વધુ માહિતી","machine translated - please check",
home.why.title,"Home page","Why<strong>Choose Us</strong>",Hindi,"हमें क्यों <strong>चुनें</strong>","HAND-CORRECTED - please confirm",
home.why.title,"Home page","Why<strong>Choose Us</strong>",Gujarati,"અમને શા માટે <strong>પસંદ કરો</strong>","HAND-CORRECTED - please confirm",
contact.form.title,"Contact page","Send<strong>Us Message!</strong>",Hindi,"हमें <strong>संदेश भेजें!</strong>","HAND-CORRECTED - please confirm",
contact.form.title,"Contact page","Send<strong>Us Message!</strong>",Gujarati,"અમને <strong>સંદેશ મોકલો!</strong>","HAND-CORRECTED - please confirm",
contact.form.intro,"Contact page","Please fill out the request for quote form below and our expert team will get back to you shortly.",Hindi,"कृपया नीचे दिया गया मूल्य अनुमान अनुरोध प्रपत्र भरें और हमारी विशेषज्ञ टीम आपसे शीघ्र ही संपर्क करेगी।","machine translated - please check",
contact.form.intro,"Contact page","Please fill out the request for quote form below and our expert team will get back to you shortly.",Gujarati,"કૃપા કરીને નીચે આપેલ કિંમત માટે વિનંતી ફોર્મ ભરો અને અમારી નિષ્ણાત ટીમ તમને ટૂંક સમયમાં સંપર્ક કરશે.","machine translated - please check",
contact.office.title,"Contact page","Drop in our office",Hindi,"हमारे कार्यालय पर आएँ","HAND-CORRECTED - please confirm",
contact.office.title,"Contact page","Drop in our office",Gujarati,"અમારી ઓફિસે પધારો","HAND-CORRECTED - please confirm",
contact.form.name,"Contact page","Your Name:*",Hindi,"आपके नाम:*","machine translated - please check",
contact.form.name,"Contact page","Your Name:*",Gujarati,"આપનું નામ:*","machine translated - please check",
contact.form.email,"Contact page","Your email-id:*",Hindi,"आपके ईमेल-आईडी:*","machine translated - please check",
contact.form.email,"Contact page","Your email-id:*",Gujarati,"આપનો email-id:*","machine translated - please check",
contact.form.phone,"Contact page","Your Number:*",Hindi,"आपका फ़ोन नंबर:*","HAND-CORRECTED - please confirm",
contact.form.phone,"Contact page","Your Number:*",Gujarati,"તમારો ફોન નંબર:*","HAND-CORRECTED - please confirm",
contact.form.message,"Contact page","Your Message:*",Hindi,"आपका संदेशः*","machine translated - please check",
contact.form.message,"Contact page","Your Message:*",Gujarati,"તમારો સંદેશ:*","machine translated - please check",
contact.form.submit,"Contact page","Submit Now!",Hindi,"अब जमा करें!","machine translated - please check",
contact.form.submit,"Contact page","Submit Now!",Gujarati,"સબમિટ કરો.","machine translated - please check",
contact.office.phone,"Contact page",Phone,Hindi,फ़ोन,"machine translated - please check",
contact.office.phone,"Contact page",Phone,Gujarati,ફોન,"machine translated - please check",
contact.office.email,"Contact page",Email,Hindi,ईमेल,"machine translated - please check",
contact.office.email,"Contact page",Email,Gujarati,ઈમેલ,"machine translated - please check",
contact.office.location,"Contact page",Location,Hindi,स्थान,"machine translated - please check",
contact.office.location,"Contact page",Location,Gujarati,સ્થાન,"machine translated - please check",
about1.p2,"About - Company Overview","The testimony of man’s tryst with technology lies in rapid industrialisation and development, water is the biggest fuel to this. Along with the use of water comes the complexity of water pollution, scale formation, filtration, solid liquid separation and availability of good quality water for use in these industrial processes.",Hindi,"प्रौद्योगिकी के साथ मनुष्य के संबंध की गवाही तेजी से औद्योगीकरण और विकास में निहित है, इसके लिए जल सबसे बड़ा ईंधन है। पानी के उपयोग के साथ पानी के प्रदूषण, पैमाने का निर्माण, निस्पंदन, ठोस तरल पृथक्करण और इन औद्योगिक उपयोगों में उपयोग के लिए अच्छी गुणवत्ता वाले पानी की उपलब्धता की जटिलता आती है।","machine translated - please check",
about1.p2,"About - Company Overview","The testimony of man’s tryst with technology lies in rapid industrialisation and development, water is the biggest fuel to this. Along with the use of water comes the complexity of water pollution, scale formation, filtration, solid liquid separation and availability of good quality water for use in these industrial processes.",Gujarati,"ટેકનોલોજી સાથે માણસના પ્રણયની સાક્ષી ઝડપી ઔદ્યોગિકરણ અને વિકાસમાં છે, જેમાં પાણી સૌથી મોટું ઇંધણ છે. પાણીના ઉપયોગ સાથે પાણીના પ્રદૂષણની જટિલતા, સ્કેલની રચના, ગાળણ, ઘન પ્રવાહી અલગતા અને આ ઔદ્યોગિક માંગમાં ઉપયોગ માટે સારી ગુણવત્તાવાળા પાણીની ઉપલબ્ધતા આવે છે.","machine translated - please check",
about1.p3,"About - Company Overview","With years of experience in chemistries related to water and effluent treatment, we strive relentlessly to give our customers the most innovative and cutting edge technologies in the field of water and effluent treatment, we have the best dewatering polymer chemistries, that give the lowest moisture in dewater sludge, thereby reducing the cost of sludge disposal, our MEE-Antiscalants are designed to retard scale formation and create soft scales, allowing longer production cycles and lower down time for water jet cleaning and scale removal.",Hindi,"जल और अपशिष्ट जल उपचार से संबंधित रसायन विज्ञान में वर्षों के अनुभव के साथ, हम अपने ग्राहकों को जल और अपशिष्ट जल उपचार के क्षेत्र में सबसे नवीन और अत्याधुनिक प्रौद्योगिकियां देने का अथक प्रयास करते हैं, हमारे पास सबसे अच्छी डीवाटरिंग पॉलिमर रसायन विज्ञान हैं, जो डीवाटर कीचड़ में सबसे कम नमी देते हैं, इससे कीचड़ निपटान की लागत कम हो जाती है, हमारे एक्स.क्यू.0.क्यू.एक्स.-एंटीस्केलेंट को स्केल के निर्माण को धीमा करने और नरम स्केल बनाने के लिए डिज़ाइन किया गया है, जिससे लंबे पी.एक्स.क्यू.1.क्यू.एक्स.डी. चक्र और पानी की जेट सफाई और स्केल हटाने के लिए कम समय मिलता है।","machine translated - please check",
about1.p3,"About - Company Overview","With years of experience in chemistries related to water and effluent treatment, we strive relentlessly to give our customers the most innovative and cutting edge technologies in the field of water and effluent treatment, we have the best dewatering polymer chemistries, that give the lowest moisture in dewater sludge, thereby reducing the cost of sludge disposal, our MEE-Antiscalants are designed to retard scale formation and create soft scales, allowing longer production cycles and lower down time for water jet cleaning and scale removal.",Gujarati,"પાણી અને ગંદા પાણીના સારવાર સંબંધિત રસાયણશાસ્ત્રમાં વર્ષોના અનુભવ સાથે, અમે અમારા ગ્રાહકોને પાણી અને ગંદા પાણીના સારવારના ક્ષેત્રમાં સૌથી નવીન અને અત્યાધુનિક તકનીકો આપવા માટે અથાક પ્રયાસ કરીએ છીએ, અમારી પાસે શ્રેષ્ઠ ડીવોટરિંગ પોલિમર રસાયણશાસ્ત્ર છે, જે ડીવોટર કાદવમાં સૌથી ઓછી ભેજ આપે છે, આમ કાદવના નિકાલનો ખર્ચ ઘટાડવામાં આવે છે, અમારા MEE-એન્ટિસ્કેલન્ટ્સ સ્કેલ રચનાને ધીમું કરવા અને સોફ્ટ સ્કેલ બનાવવા માટે રચાયેલ છે, જે લાંબા પીએક્સક્યુ1ક્યુએક્સડીક્શન ચક્ર અને પાણીના જેટ સફાઈ અને સ્કેલ દૂર કરવા માટે ઓછો સમય આપે છે.","machine translated - please check",
about1.p4,"About - Company Overview","It has been our endeavour to bring forth to our customers, the latest, the most innovative and the best available technologies, products and services. We believe that waste in all forms is an improperly utilised resource.",Hindi,"हमारे ग्राहकों को नवीनतम, सबसे अभिनव और सर्वोत्तम उपलब्ध प्रौद्योगिकियों, पी.एक्स.क्यू.0क्यू.एक्स.डक्ट्स और सेवाओं को लाना हमारा प्रयास रहा है। हम मानते हैं कि सभी प्रकार के अपशिष्ट एक अत्यधिक उपयोग नहीं किए जाने वाला संसाधन है।","machine translated - please check",
about1.p4,"About - Company Overview","It has been our endeavour to bring forth to our customers, the latest, the most innovative and the best available technologies, products and services. We believe that waste in all forms is an improperly utilised resource.",Gujarati,"અમારા ગ્રાહકોને નવીનતમ, સૌથી નવીન અને શ્રેષ્ઠ ઉપલબ્ધ તકનીકો, પી.એક્સ.ક્યુ.0.ક્યુ.એક્સ. ડ્યૂક્ટ્સ અને સેવાઓ પ્રદાન કરવાનો અમારો પ્રયાસ રહ્યો છે. અમે માનીએ છીએ કે તમામ સ્વરૂપોમાં કચરો એક અયોગ્ય ઉપયોગમાં લેવાયેલ સંસાધન છે.","machine translated - please check",
about1.p5,"About - Company Overview","Solid liquid separation in an aqueous solution, possess complexities, that require in depth understanding, experience and products that cannot just achieve the desired results but deliver them consistently and cost effectively over a long period of time.",Hindi,"जल में तरल पृथक्करण में जटिलताएं होती हैं, जिन्हें गहराई से समझने, अनुभव और pROducts की आवश्यकता होती है जो न केवल वांछित परिणाम प्राप्त कर सकते हैं बल्कि लंबे समय तक लगातार और लागत प्रभावी ढंग से उन्हें प्रदान कर सकते हैं।","machine translated - please check",
about1.p5,"About - Company Overview","Solid liquid separation in an aqueous solution, possess complexities, that require in depth understanding, experience and products that cannot just achieve the desired results but deliver them consistently and cost effectively over a long period of time.",Gujarati,"જળયુક્ત દ્રાવણમાં ઘન પ્રવાહીનું વિભાજન, જટિલતાઓ ધરાવે છે, જેને ઊંડી સમજ, અનુભવ અને પીએક્સક્યુ0ક્યુએક્સડક્ટ્સની જરૂર છે, જે માત્ર ઇચ્છિત પરિણામો પ્રાપ્ત કરી શકતા નથી, પરંતુ લાંબા સમય સુધી સતત અને ખર્ચ-અસરકારક રીતે પહોંચાડે છે.","machine translated - please check",
about1.p6,"About - Company Overview","Our range of products, include Polyelectrolytes, Activated Carbon, RO & MEE Antiscalants, MEE Antifoam, Defoamers, Bacterial Culture, Cooling Tower & Boiler Water Treatment Chemicals, Odour Control Chemicals and more. Not only do we supply these products but also help integrate them with the rest of the ETP.",Hindi,"हमारी pROducts की श्रृंखला में Polyelectrolytes, Activated Carbon, RO & MEE Antiscalants, MEE एंटीफोम, Defoamers, Bacterial Culture, कूलिंग टॉवर और बॉयलर वाटर ट्रीटमेंट केमिकल्स, Odour Control Chemicals और और भी बहुत कुछ शामिल हैं। हम न केवल इन pROducts को आपूर्ति करते हैं बल्कि उन्हें शेष ETP के साथ एकीकृत करने में भी मदद करते हैं।","machine translated - please check",
about1.p6,"About - Company Overview","Our range of products, include Polyelectrolytes, Activated Carbon, RO & MEE Antiscalants, MEE Antifoam, Defoamers, Bacterial Culture, Cooling Tower & Boiler Water Treatment Chemicals, Odour Control Chemicals and more. Not only do we supply these products but also help integrate them with the rest of the ETP.",Gujarati,"અમારી pROducts શ્રેણી માં Polyelectrolytes, Activated Carbon, RO & MEE Antiscalants, MEE એન્ટિફૉમ, Defoamers, Bacterial Culture, કૂલિંગ ટાવર & બોઈલર વોટર ટ્રીટમેન્ટ કેમિકલ્સ, Odour Control Chemicals અને વધુ નો સમાવેશ થાય છે. અમે આ pROducts ને જ નહીં, પરંતુ તેમને બાકીના ETP સાથે સંકલિત કરવામાં પણ મદદ કરીએ છીએ.","machine translated - please check",
about1.p7,"About - Company Overview","The prime reason behind our success is our ability to offer customised products and services to our clients as per their specific problems or challenges in their water and wastewater treatment plants. We conduct detailed treat-ability studies and design the most cost effective solutions to help our customer overcome their challenges in their water and wastewater treatment systems. Not only do we supply these products but also help integrate them with the rest of water and /or wastewater treatment process.",Hindi,"हमारे सफलता के पीछे मुख्य कारण हमारी ग्राहकों को उनकी विशिष्ट जल और अपशिष्ट जल उपचार संयंत्रों में समस्याओं या चुनौतियों के अनुसार अनुकूलित पीएक्सक्यू0क्यूएक्सडक्ट और सेवाएँ प्रदान करने की क्षमता है। हम विस्तृत उपचार-योग्यता अध्ययन करते हैं और हमारे ग्राहक को उनके जल और अपशिष्ट जल उपचार प्रणालियों में आने वाली चुनौतियों को दूर करने में मदद करने के लिए सबसे किफायती समाधान तैयार करते हैं। हम न केवल इन pROducts को आपूर्ति करते हैं, बल्कि उन्हें शेष जल और / या अपशिष्ट जल उपचार pROcess के साथ एकीकृत करने में भी मदद करते हैं।","machine translated - please check",
about1.p7,"About - Company Overview","The prime reason behind our success is our ability to offer customised products and services to our clients as per their specific problems or challenges in their water and wastewater treatment plants. We conduct detailed treat-ability studies and design the most cost effective solutions to help our customer overcome their challenges in their water and wastewater treatment systems. Not only do we supply these products but also help integrate them with the rest of water and /or wastewater treatment process.",Gujarati,"અમારી સફળતા પાછળનું મુખ્ય કારણ અમારા ગ્રાહકોને તેમના પાણી અને ગંદા પાણીના સારવાર પ્લાન્ટમાં તેમના ચોક્કસ મુદ્દાઓ અથવા પડકારોને ધ્યાનમાં રાખીને કસ્ટમાઇઝ્ડ પીએક્સક્યુ0ક્યુએક્સડક્ટ્સ અને સેવાઓ પ્રદાન કરવાની ક્ષમતા છે. અમે વિગતવાર સારવાર-યોગ્યતા અભ્યાસો કરીએ છીએ અને અમારા ગ્રાહકોને તેમના પાણી અને ગંદા પાણીના સારવાર પ્રણાલીઓમાં તેમના પડકારો દૂર કરવામાં મદદ કરવા માટે સૌથી વધુ ખર્ચ-અસરકારક ઉકેલો તૈયાર કરીએ છીએ. અમે આ pROducts ને માત્ર પૂરી જ નથી કરતા પરંતુ તેમને બાકીના પાણી અને /અથવા ગંદા પાણીના સારવાર pROcess સાથે સંકલિત કરવામાં પણ મદદ કરીએ છીએ.","machine translated - please check",
about1.p8,"About - Company Overview","We shall endeavour to always be the market leaders, by bringing forth to our customers the best and the latest, cutting edge technologies and products, in the field of water and wastewater treatment and recycling.",Hindi,"हम जल और अपशिष्ट जल उपचार और पुनर्चक्रण के क्षेत्र में सर्वोत्तम और नवीनतम, अत्याधुनिक प्रौद्योगिकियों और पाइपों को अपने ग्राहकों तक पहुँचाकर हमेशा बाजार में अग्रणी बनने का प्रयास करेंगे।","machine translated - please check",
about1.p8,"About - Company Overview","We shall endeavour to always be the market leaders, by bringing forth to our customers the best and the latest, cutting edge technologies and products, in the field of water and wastewater treatment and recycling.",Gujarati,"અમે અમારા ગ્રાહકોને પાણી અને ગંદા પાણીના સારવાર અને રિસાયક્લિંગના ક્ષેત્રમાં શ્રેષ્ઠ અને નવીનતમ, અત્યાધુનિક તકનીકો અને પંપો લાવવા દ્વારા હંમેશાં બજારમાં અગ્રણી બનવાનો પ્રયાસ કરીશું.","machine translated - please check",
about1.p9,"About - Company Overview","We shall always deliver to our customers outperforming products with outstanding service",Hindi,"हम हमेशा अपने ग्राहकों को उत्कृष्ट सेवा के साथ उत्कृष्ट प्रदर्शन करने वाले pROducts वितरित करेंगे।","machine translated - please check",
about1.p9,"About - Company Overview","We shall always deliver to our customers outperforming products with outstanding service",Gujarati,"અમે અમારા ગ્રાહકોને હંમેશા ઉત્કૃષ્ટ સેવા સાથે શ્રેષ્ઠ પ્રદર્શન કરતા pROducts પહોંચાડીશું.","machine translated - please check",
about1.p10,"About - Company Overview","We shall always remain committed to the paradigm that unless the results are measurable, the solutions cannot be trusted, and deliver products and solutions that are sustainable, not just environmentally but economically also.",Hindi,"हम हमेशा उस प्रतिमान के प्रति प्रतिबद्ध रहेंगे कि जब तक परिणाम मापने योग्य नहीं होंगे, तब तक समाधान पर भरोसा नहीं किया जा सकता है, और न केवल पर्यावरणीय रूप से बल्कि आर्थिक रूप से भी टिकाऊ, ऐसे समाधान और परिणाम नहीं हो सकते हैं।","machine translated - please check",
